run_id,timestamp,label,scenario,count,code_200,code_429,code_502,code_503,code_504,code_000,lat_avg_s,lat_min_s,lat_max_s,demo_fallback_files,config
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S1_serial_5,5,5,0,0,0,0,0,4.299,4.052,4.505,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S2_parallel_3,3,0,0,0,3,0,0,42.188,42.187,42.188,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S3_parallel_6,6,1,0,0,5,0,0,48.507,17.713,84.192,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S4_parallel_8,8,0,0,0,8,0,0,58.993,42.268,86.401,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S5_parallel_10,10,0,0,0,10,0,0,56.302,42.194,87.245,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S6_ramp15_d2,15,0,0,0,15,0,0,54.133,42.183,82.200,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T161905Z,2026-03-11T16:19:05.316966+00:00,smoke-check,S7_burst15,15,0,0,0,13,2,0,56.779,42.186,90.213,0,"conc=4,assistant=45,proxy=42,queue=45"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S1_serial_5,5,5,0,0,0,0,0,5.152,4.504,5.767,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S2_parallel_3,3,0,0,0,3,0,0,42.147,42.142,42.155,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S3_parallel_6,6,1,0,0,5,0,0,55.670,42.221,84.307,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S4_parallel_8,8,0,0,0,8,0,0,64.714,42.186,90.210,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S5_parallel_10,10,0,0,0,8,2,0,62.560,42.187,90.218,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S6_ramp15_d2,15,0,0,0,15,0,0,54.942,44.498,82.196,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,S7_burst15,15,0,0,0,13,2,0,57.140,45.098,90.215,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,H1_human_prefetch_u5_r4,20,0,0,0,20,0,0,53.945,45.141,84.070,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T163442Z,2026-03-11T16:34:42.419012+00:00,c4_a45_p42_bothprofiles,H2_human_prefetch_u8_r4,32,0,0,0,32,0,0,83.918,45.121,90.111,0,"conc=4,assistant=45,proxy=42,queue=45,prefetch=MAX2_DELAY1500"
20260311T165636Z,2026-03-11T16:56:36.941547+00:00,human-aggressive,H1_human_prefetch_u8_r4_s1_t1,32,0,0,0,32,0,0,83.016,44.032,90.140,0,"conc=4,assistant=45,proxy=42,queue=45,sim=aggressive_prefetch"
20260311T170246Z,2026-03-11T17:02:46.206246+00:00,human-conservative,H1_human_prefetch_u5_r4_s2_t5,20,0,0,0,20,0,0,53.944,45.140,84.109,0,"conc=4,assistant=45,proxy=42,queue=45,sim=conservative_prefetch"
